011 	Yhden asunnon talot 	One-dwelling houses 	building 	house 		17768 	20248 	12640
011 			building:use 	residential 				
012 	Kahden asunnon talot 	Two-dwelling houses 	building 	duplex 		4084 	6462 	6073
012 			building:use 	residential 				
013 	Muut erilliset pientalot 	Other detached and semi-detached houses 	building 	house 		93 	40 	424
013 			building:use 	residential 				
021 	Rivitalot 	Rowhouses 	building 	terrace 		3014 	3824 	4022
021 			building:use 	residential 				
022 	Ketjutalot 	Terraced houses 	building 	terrace 		73 	104 	57
022 			building:use 	residential 				
032 	Luhtitalot 	Balcony-access blocks 	building 	apartments 		105 	149 	318
032 			building:use 	residential 				
039 	Muut asuinkerrostalot 	Other blocks of flats 	building 	apartments 		2313 	2719 	9582
039 			building:use 	residential 				
041 	Vapaa-ajan asuinrakennukset 	Free-time residential buildings 	building 	cabin 		366 	1819 	337
041 			building:use 	residential 				
111 	Myymälähallit 	Shopping halls 	building 	retail 		19 	16 	18
111 			building:use 	retail 				
112 	Liike- ja tavaratalot, kauppakeskukset 	Shops, department stores and shopping centres 	building 	retail 		101 	124 	170
112 			building:use 	retail 				
112 			FIXME:classify 	Likely also either shop=shopping_centre ("kauppakeskus" - with covered and warm space) or shop=mall ("ostoskeskus"/"ostari" - without warms connection space, possibly covered though). 				
119 	Muut myymälärakennukset 	Other wholesale and retail trade buildings 	building 	retail 		97 	158 	148
119 			building:use 	retail 				
121 	Hotellit yms. 	Hotels, etc. 	building 	hotel 		7 	17 	41
121 			building:use 	accommodation 				
121 			tourism 	hotel 	X 			
121 			FIXME:classify 	or hostel/guest_house/spa/spa_resort? 				
123 	Loma-, lepo- ja virkistyskodit 	Holiday, rest and recreation homes 	building 	hotel 		0 	4 	8
123 			building:use 	accomodation 				
123 			tourism 	hotel 	X 			
123 			FIXME:classify 	hostel/guest_house? 				
124 	Vuokrattavat lomamökit ja -osakkeet 	Rental holiday cottages and flats 	building 	yes 		0 	77 	20
124 			building:use 	accomodation 				
124 			tourism 	chalet 				
124 			FIXME:classify 	tourism=apartment? 				
129 	Muut majoitusliikerakennukset 	Other hotel buildings 	FIXME:classify 	tourism=hotel/hostel/guest_house? 		0 	7 	1
129 			building 	yes 				
131 	Asuntolat yms. 	Residences for communities, etc. 	building 	apartments 		15 	49 	103
131 			building:use 	residential 				
131 			amenity 	social_facility 	X 			
131 			FIXME:classify 	or hotel ("asuntolahotelli") instead of social_facility (possible but unlikely)? social_facility:for=senior? 				
139 	Muut asuntolarakennukset 	Other residential buildings for communities 	building 	residential 		10 	32 	31
139 			building:use 	residential 				
139 			FIXME:classify 	amenity=? 				
